titles,author_journal,abstracts,n_citations,author,journal,page,year
Recent developments in intergenerational mobility,"SE Black, PJ Devereux - 2010 - nber.org","… developments in the intergenerational transmission literature … Also, since intergenerational
research has mostly used data … “optimal” amount of intergenerational mobility? Many people …",1443,"SE Black, PJ Devereux",,nber.org,2010
Where is the land of opportunity? The geography of intergenerational mobility in the United States,"R Chetty, N Hendren, P Kline… - The Quarterly Journal of …, 2014 - academic.oup.com","… We characterize intergenerational mobility using information … new statistics on intergenerational
mobility in the United … ), we begin by estimating the intergenerational elasticity of income (…",3148,"R Chetty, N Hendren, P Kline…",The Quarterly Journal of …,academic.oup.com,2014
Intergenerational mobility in the labor market,"G Solon - Handbook of labor economics, 1999 - Elsevier","… intergenerational mobility in the labor market. I will not cover the vast sociology literature on
intergenerational mobility … of neighborhood background in intergenerational mobility I will not …",1662,G Solon,Handbook of labor economics,Elsevier,1999
Analyses of intergenerational mobility: An interdisciplinary review,"F Torche - The ANNALS of the American Academy of …, 2015 - journals.sagepub.com","… on intergenerational mobility. Findings on social class, occupational status, earnings, and
income mobility are … in the intergenerational association, variation in mobility across advanced …",246,F Torche,The ANNALS of the American Academy of …,journals.sagepub.com,2015
Intergenerational mobility in Britain,"L Dearden, S Machin, H Reed - The Economic Journal, 1997 - academic.oup.com","… extent of intergenerational mobility is limited. We report a clear intergenerational correlation
… important asymmetry in intergenerational earnings mobility, with upward mobility from the …",673,"L Dearden, S Machin, H Reed",The Economic Journal,academic.oup.com,1997
"Income inequality, equality of opportunity, and intergenerational mobility","M Corak - Journal of Economic Perspectives, 2013 - aeaweb.org","… limit economic mobility for the next generation of young adults. … intergenerational mobility.
The goal is to explain why America differs from other countries, how intergenerational mobility …",2132,M Corak,Journal of Economic Perspectives,aeaweb.org,2013
A theory of intergenerational mobility,"GS Becker, SD Kominers, KM Murphy… - Journal of Political …, 2018 - journals.uchicago.edu","… We also discuss how changes in the marketplace affect intergenerational mobility. … of human
capital has no impact on mobility. By contrast, the intergenerational earnings elasticity (IGE) …",188,"GS Becker, SD Kominers, KM Murphy…",Journal of Political …,journals.uchicago.edu,2018
Intergenerational mobility and the process of development,"YD Maoz, O Moav - The Economic Journal, 1999 - Wiley Online Library","… evidence that intergenerational earnings mobility is higher in more developed economies
and that mobility is positively correlated with wage equality. In the model mobility promotes …",266,"YD Maoz, O Moav",The Economic Journal,Wiley Online Library,1999
Is the United States still a land of opportunity? Recent trends in intergenerational mobility,"R Chetty, N Hendren, P Kline, E Saez… - American Economic …, 2014 - aeaweb.org","… in intergenerational mobility using … intergenerational mobility based on the correlation
between parent and child income percentile ranks. For more recent cohorts, we measure mobility …",1063,"R Chetty, N Hendren, P Kline, E Saez…",American Economic …,aeaweb.org,2014
Intergenerational mobility in europe and north america,"J Blanden, P Gregg, S Machin - … by the Sutton Trust, Centre for …, 2005 - suttontrust.com","… The level of intergenerational mobility in society is seen by … more about how intergenerational
mobility compares across … more about mobility in Britain: how mobility has changed …",581,"J Blanden, P Gregg, S Machin","… by the Sutton Trust, Centre for …",suttontrust.com,2005
